strong,강한,R 0 G 119 B 174,R 0 G 116 B 121,R 0 G 76 B 78,R 0 G 21 B 29,R 0 G 95 B 47,R 140 G 198 B 71,R 163 G 207 B 98,R 179 G 211 B 53,R 20 G 27 B 19,R 206 G 19 B 55,R 167 G 6 B 46,R 177 G 12 B 45,R 158 G 3 B 42,R 148 G 0 B 41,R 140 G 29 B 44,R 121 G 0 B 32,R 226 G 59 B 121,R 168 G 0 B 84,R 140 G 11 B 70,R 85 G 22 B 110,R 72 G 25 B 91,R 38 G 0 B 51,R 68 G 44 B 139,R 55 G 21 B 95,R 2 G 63 B 136,R 1 G 44 B 109,R 0 G 6 B 30,R 255 G 217 B 0,R 249 G 157 B 28,R 244 G 121 B 32,R 241 G 90 B 34,R 243 G 112 B 67,R 241 G 90 B 34,R 238 G 37 B 36,R 216 G 25 B 37,R 139 G 20 B 15,R 239 G 65 B 61,,,,,,,,,,,,,,,,,,,,,,,
unique,독특한,R 0 G 114 B 171,R 103 G 193 B 193,R 0 G 177 B 177,R 0 G 169 B 166,R 133 G 200 B 190,R 0 G 147 B 111,R 226 G 240 B 227,R 43 G 173 B 111,R 173 G 211 B 154,R 55 G 171 B 74,R 19 G 165 B 56,R 0 G 154 B 58,R 148 G 194 B 60,R 149 G 194 B 49,R 198 G 213 B 48,R 188 G 207 B 1,R 246 G 233 B 69,R 255 G 224 B 1,R 254 G 218 B 0,R 245 G 156 B 0,R 240 G 124 B 39,R 238 G 113 B 3,R 232 G 78 B 16,R 233 G 66 B 60,R 231 G 51 B 50,R 255 G 255 B 255,R 22 G 27 B 20,R 234 G 82 B 97,R 231 G 51 B 76,R 202 G 8 B 45,R 168 G 11 B 42,R 235 G 82 B 138,R 224 G 49 B 116,R 168 G 0 B 80,R 214 G 125 B 179,R 171 G 53 B 139,R 136 G 16 B 105,R 107 G 11 B 85,R 108 G 75 B 154,R 71 G 36 B 128,R 57 G 116 B 186,R 0 G 77 B 157,,,,,,,,,,,,,,,,,,
casual,캐쥬얼한,R 166 G 222 B 243,R 127 G 211 B 241,R 95 G 188 B 219,R 0 G 170 B 221,R 0 G 119 B 174,R 0 G 188 B 198,R 0 G 116 B 121,R 135 G 209 B 211,R 91 G 196 B 192,R 0 G 149 B 131,R 118 G 202 B 187,R 98 G 195 B 165,R 59 G 187 B 156,R 0 G 108 B 80,R 216 G 237 B 221,R 155 G 211 B 174,R 0 G 172 B 111,R 0 G 153 B 80,R 106 G 193 B 123,R 78 G 184 B 87,R 0 G 168 B 72,R 139 G 199 B 81,R 173 G 213 B 129,R 200 G 220 B 93,R 179 G 211 B 53,R 242 G 235 B 85,R 225 G 223 B 107,R 200 G 211 B 35,R 241 G 91 B 108,R 241 G 91 B 102,R 247 G 167 B 171,R 167 G 6 B 46,R 246 G 163 B 187,R 240 G 90 B 142,R 226 G 59 B 121,R 209 G 124 B 179,R 156 G 141 B 195,R 135 G 183 B 226,R 101 G 155 B 210,R 75 G 143 B 204,R 19 G 99 B 170,R 2 G 63 B 136,R 255 G 237 B 108,R 255 G 225 B 0,R 250 G 204 B 49,R 242 G 193 B 8,R 250 G 166 B 52,R 249 G 157 B 28,R 245 G 133 B 60,,,,,,,,,,,
cheerful,경쾌한,R 0 G 164 B 217,R 1 G 136 B 192,R 0 G 114 B 171,R 0 G 92 B 139,R 0 G 110 B 119,R 0 G 147 B 111,R 1 G 159 B 98,R 0 G 161 B 94,R 0 G 140 B 67,R 55 G 171 B 74,R 19 G 165 B 56,R 0 G 114 B 44,R 231 G 51 B 76,R 202 G 8 B 45,R 224 G 49 B 116,R 208 G 75 B 122,R 136 G 16 B 105,R 108 G 75 B 154,R 57 G 116 B 186,R 25 G 93 B 166,R 246 G 156 B 0,R 238 G 113 B 3,R 236 G 104 B 56,R 235 G 91 B 38,R 232 G 78 B 16,R 231 G 51 B 36,R 231 G 51 B 50,R 233 G 69 B 67,R 229 G 21 B 19,R 22 G 182 B 196,R 151 G 210 B 214,R 103 G 193 B 193,R 107 G 192 B 163,R 167 G 211 B 175,R 145 G 197 B 122,R 174 G 203 B 84,R 149 G 194 B 49,R 198 G 213 B 48,R 183 G 205 B 0,R 212 G 211 B 0,R 246 G 232 B 22,R 255 G 222 B 19,R 254 G 218 B 0,R 245 G 197 B 0,R 246 G 157 B 15,R 234 G 81 B 102,R 234 G 82 B 97,,,,,,,,,,,,,
dynamic,동적인,R 0 G 77 B 157,R 0 G 130 B 182,R 0 G 92 B 139,R 0 G 82 B 119,R 0 G 69 B 74,R 1 G 96 B 90,R 0 G 76 B 72,R 0 G 53 B 43,R 0 G 102 B 75,R 1 G 86 B 63,R 0 G 89 B 43,R 1 G 69 B 28,R 0 G 136 B 52,R 52 G 83 B 15,R 22 G 27 B 20,R 168 G 11 B 42,R 159 G 12 B 38,R 121 G 10 B 29,R 168 G 0 B 80,R 143 G 23 B 69,R 103 G 0 B 48,R 71 G 36 B 128,R 62 G 27 B 91,R 19 G 56 B 127,R 21 G 43 B 103,R 252 G 207 B 26,R 238 G 113 B 3,R 235 G 91 B 38,R 232 G 78 B 16,R 210 G 10 B 23,R 166 G 30 B 8,R 202 G 8 B 45,R 0 G 164 B 217,R 22 G 182 B 196,R 1 G 139 B 124,R 0 G 140 B 67,R 19 G 165 B 56,R 148 G 194 B 60,R 134 G 188 B 38,R 188 G 207 B 1,R 255 G 224 B 1,R 249 G 179 B 67,R 245 G 156 B 0,R 229 G 21 B 19,R 224 G 49 B 116,R 171 G 53 B 139,R 170 G 36 B 157,R 197 G 45 B 102,R 224 G 49 B 116,R 231 G 51 B 50,R 231 G 66 B 60,R 232 G 78 B 16,R 238 G 113 B 3,R 240 G 124 B 39,R 245 G 156 B 0,,,,,
sensual,감각적인,R 201 G 233 B 234,R 173 G 222 B 219,R 228 G 242 B 231,R 165 G 217 B 207,R 216 G 237 B 221,R 227 G 234 B 224,R 160 G 211 B 156,R 184 G 221 B 176,R 235 G 243 B 216,R 196 G 223 B 155,R 173 G 213 B 129,R 221 G 233 B 164,R 250 G 248 B 209,R 245 G 242 B 163,R 230 G 228 B 155,R 229 G 224 B 125,R 194 G 187 B 101,R 252 G 211 B 203,R 251 G 201 B 196,R 241 G 91 B 108,R 251 G 203 B 197,R 241 G 91 B 108,R 253 G 232 B 233,R 251 G 208 B 215,R 248 G 183 B 200,R 239 G 210 B 209,R 244 G 144 B 173,R 219 G 198 B 199,R 204 G 148 B 164,R 250 G 213 B 229,R 228 G 203 B 215,R 222 G 176 B 210,R 197 G 177 B 188,R 219 G 219 B 238,R 207 G 208 B 233,R 183 G 177 B 216,R 255 G 231 B 167,R 255 G 225 B 155,R 255 G 204 B 122,R 254 G 208 B 158,R 249 G 168 B 112,R 254 G 212 B 163,R 255 G 228 B 199,R 254 G 219 B 186,R 253 G 207 B 173,R 251 G 203 B 184,R 249 G 178 B 157,,,,,,,,,,,,,
charming,매력적인,R 0 G 119 B 174,R 0 G 21 B 29,R 0 G 60 B 47,R 244 G 130 B 126,R 148 G 0 B 41,R 121 G 0 B 28,R 121 G 0 B 32,R 84 G 0 B 17,R 99 G 92 B 89,R 240 G 90 B 142,R 226 G 59 B 121,R 197 G 49 B 107,R 168 G 0 B 84,R 165 G 96 B 118,R 150 G 36 B 77,R 140 G 11 B 70,R 122 G 0 B 60,R 128 G 114 B 123,R 106 G 41 B 67,R 81 G 0 B 36,R 88 G 73 B 81,R 64 G 0 B 28,R 35 G 0 B 11,R 209 G 124 B 179,R 136 G 49 B 122,R 116 G 49 B 107,R 98 G 51 B 93,R 75 G 0 B 73,R 86 G 50 B 82,R 57 G 0 B 64,R 156 G 141 B 195,R 130 G 106 B 175,R 104 G 83 B 163,R 70 G 46 B 123,R 83 G 81 B 117,R 42 G 16 B 80,R 11 G 0 B 54,R 2 G 63 B 136,R 85 G 34 B 0,R 240 G 81 B 77,R 239 G 56 B 41,R 207 G 56 B 52,R 122 G 23 B 17,R 50 G 22 B 17,,,,,,,,,,,,,,,,
mysterious,신비로운,R 240 G 197 B 224,R 228 G 185 B 215,R 199 G 144 B 183,R 144 G 47 B 114,R 125 G 51 B 104,R 107 G 11 B 85,R 63 G 3 B 57,R 39 G 0 B 29,R 215 G 209 B 233,R 196 G 186 B 221,R 189 G 172 B 214,R 171 G 165 B 199,R 136 G 104 B 169,R 125 G 107 B 169,R 108 G 75 B 154,R 71 G 36 B 128,R 80 G 72 B 111,R 62 G 27 B 91,R 78 G 69 B 100,R 52 G 25 B 76,R 27 G 11 B 50,R 151 G 188 B 230,R 126 G 169 B 212,R 0 G 31 B 52,R 0 G 85 B 92,R 0 G 69 B 74,R 0 G 177 B 177,R 95 G 185 B 183,R 35 G 173 B 173,R 0 G 169 B 166,R 125 G 197 B 173,R 0 G 72 B 52,R 22 G 27 B 20,R 240 G 131 B 128,R 234 G 81 B 102,R 175 G 12 B 39,R 224 G 49 B 116,R 197 G 45 B 102,R 164 G 78 B 105,R 153 G 39 B 75,R 143 G 23 B 69,R 123 G 0 B 57,R 122 G 50 B 74,R 105 G 48 B 67,R 246 G 232 B 22,R 255 G 237 B 101,R 255 G 222 B 19,R 239 G 123 B 24,R 235 G 91 B 38,R 245 G 175 B 141,R 231 G 51 B 36,,,,,,,,,
luxurious,품위있는,R 205 G 187 B 177,R 121 G 10 B 29,R 81 G 14 B 23,R 168 G 105 B 124,R 155 G 115 B 124,R 123 G 0 B 57,R 128 G 85 B 94,R 122 G 50 B 74,R 103 G 0 B 48,R 105 G 48 B 67,R 86 G 75 B 81,R 60 G 0 B 26,R 175 G 155 B 166,R 166 G 133 B 152,R 141 G 109 B 130,R 107 G 11 B 85,R 122 G 89 B 108,R 82 G 6 B 68,R 92 G 58 B 82,R 63 G 3 B 57,R 39 G 0 B 29,R 33 G 72 B 87,R 0 G 31 B 52,R 1 G 22 B 27,R 0 G 76 B 72,R 0 G 53 B 43,R 27 G 39 B 27,R 154 G 153 B 149,R 164 G 162 B 176,R 158 G 154 B 181,R 121 G 118 B 149,R 95 G 90 B 122,R 80 G 72 B 111,R 62 G 27 B 91,R 78 G 69 B 100,R 52 G 25 B 76,R 27 G 11 B 50,R 85 G 113 B 153,R 5 G 53 B 102,R 14 G 32 B 82,R 68 G 75 B 83,R 0 G 20 B 55,R 160 G 140 B 81,R 132 G 116 B 67,R 69 G 64 B 60,R 223 G 176 B 108,R 141 G 106 B 66,R 109 G 100 B 83,R 128 G 86 B 44,R 95 G 63 B 25,R 82 G 41 B 9,R 82 G 37 B 8,R 199 G 107 B 70,R 137 G 46 B 15,R 148 G 96 B 75,R 126 G 69 B 40,R 155 G 140 B 135,R 159 G 103 B 90,R 115 G 102 B 94,R 81 G 31 B 22
pretty,예쁜,R 184 G 226 B 248,R 147 G 212 B 244,R 151 G 209 B 210,R 133 G 200 B 190,R 173 G 211 B 154,R 197 G 217 B 132,R 198 G 213 B 48,R 245 G 135 B 103,R 255 G 237 B 101,R 249 G 179 B 67,R 246 G 157 B 15,R 243 G 159 B 149,R 238 G 115 B 110,R 240 G 131 B 128,R 243 G 154 B 160,R 235 G 86 B 88,R 234 G 81 B 102,R 244 G 168 B 194,R 214 G 125 B 179,R 237 G 107 B 153,R 235 G 82 B 138,R 208 G 75 B 122,R 202 G 222 B 233,R 226 G 240 B 227,R 240 G 245 B 222,R 231 G 238 B 197,R 229 G 234 B 167,R 253 G 249 B 214,R 252 G 228 B 224,R 244 G 198 B 200,R 251 G 225 B 234,R 247 G 190 B 209,R 241 G 201 B 209,R 253 G 236 B 246,R 251 G 220 B 236,R 240 G 197 B 224,R 255 G 233 B 173,R 255 G 229 B 162,R 254 G 208 B 122,R 250 G 193 B 138,R 254 G 225 B 193,R 248 G 185 B 150,R 247 G 184 B 166,,,,,,,,,,,,,,,,,
